year,genre,book_title,author_name,translator,editor,gender,birth_year,image_url,publishing_imprint,big_five,num_pages,link
1997,Nonfiction,Huxley: From Devil's Disciple To Evolution's High Priest,Adrian Desmond,,,male,1947,https://images.gr-assets.com/books/1173191069l/255021.jpg,Basic Books,Hachette,848,https://www.goodreads.com/book/show/255021.Huxley
2017,Fiction,Pachinko,Min Jin Lee,,,female,1968,https://images.gr-assets.com/books/1462393298m/29983711.jpg,Grand Central Publishing,Hachette,496,https://www.goodreads.com/book/show/29983711-pachinko
2013,Fiction,The Goldfinch,Donna Tartt,,,female,1963,https://images.gr-assets.com/books/1451554970m/17333223.jpg,"Little, Brown and Company",Hachette,771,https://www.goodreads.com/book/show/17333223-the-goldfinch
2012,Fiction,The Yellow Birds,Kevin Powers,,,male,1980,https://images.gr-assets.com/books/1346188518m/13366259.jpg,"Little, Brown and Company",Hachette,226,https://www.goodreads.com/book/show/13366259-the-yellow-birds
2011,Fiction,The Art Of Fielding,Chad Harbach,,,male,1975,https://images.gr-assets.com/books/1327882787m/10996342.jpg,"Little, Brown and Company",Hachette,512,https://www.goodreads.com/book/show/10996342-the-art-of-fielding
2010,Fiction,Room,Emma Donoghue,,,female,1969,https://images.gr-assets.com/books/1344265419l/7937843.jpg,"Little, Brown and Company",Hachette,321,https://www.goodreads.com/book/show/7937843-room
2010,Nonfiction,Cleopatra: A Life,Stacy Schiff,,,female,1961,https://images.gr-assets.com/books/1294098301m/7968243.jpg,"Little, Brown and Company",Hachette,302,https://www.goodreads.com/book/show/7968243-cleopatra
2007,Fiction,Then We Came To The End,Joshua Ferris,,,male,1974,https://images.gr-assets.com/books/1442800496l/97782.jpg,"Little, Brown and Company",Hachette,387,https://www.goodreads.com/book/show/97782.Then_We_Came_to_the_End
2013,Fiction,Life After Life,Kate Atkinson,,,female,1951,https://images.gr-assets.com/books/1358173808m/15790842.jpg,Reagan Arthur Books,Hachette,531,https://www.goodreads.com/book/show/15790842-life-after-life
2003,Fiction,The Known World,Edward P. Jones,,,male,1950,https://images.gr-assets.com/books/1388251511l/67.jpg,Amistad,HarperCollins,432,https://www.goodreads.com/book/show/67.The_Known_World
2011,Fiction,Ten Thousand Saints,Eleanor Henderson,,,female,,https://images.gr-assets.com/books/1327935141m/9680533.jpg,Ecco,HarperCollins,388,https://www.goodreads.com/book/show/9680533-ten-thousand-saints
2001,Fiction,The Corrections,Jonathan Franzen,,,male,1959,https://images.gr-assets.com/books/1355011305m/3805.jpg,Fourth Estate Paperbacks,HarperCollins,653,https://www.goodreads.com/book/show/3805.The_Corrections
2009,Nonfiction,Lit: A Memoir,Mary Karr,,,female,1955,https://images.gr-assets.com/books/1439526383l/6340016.jpg,Harper,HarperCollins,400,https://www.goodreads.com/book/show/6340016-lit
2003,Nonfiction,The Bounty: The True Story Of The Mutiny On The Bounty,Caroline Alexander,,,female,1968,https://images.gr-assets.com/books/1408923288l/335795.jpg,Harper Perennial,HarperCollins,552,https://www.goodreads.com/book/show/335795.The_Bounty
2000,Nonfiction,Genome: The Autobiography Of A Species In 23 Chapters,Matt Ridley,,,male,1958,https://images.gr-assets.com/books/1439697027l/4591.jpg,Harper Perennial,HarperCollins,344,https://www.goodreads.com/book/show/4591.Genome
1998,Fiction,Cloudsplitter,Russell Banks,,,male,1940,https://images.gr-assets.com/books/1407708547l/26931.jpg,Harper Perennial,HarperCollins,758,https://www.goodreads.com/book/show/26931.Cloudsplitter
1998,Fiction,The Poisonwood Bible,Barbara Kingsolver,,,female,1955,https://images.gr-assets.com/books/1412242487m/7244.jpg,Harper Perennial,HarperCollins,546,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible
1996,Nonfiction,Angela's Ashes: A Memoir,Frank McCourt,,,male,1930,https://images.gr-assets.com/books/1348317139l/252577.jpg,Harper Perennial,HarperCollins,432,https://www.goodreads.com/book/show/252577.Angela_s_Ashes
2002,Nonfiction,Bad Blood,Lorna Sage,,,female,1943,https://images.gr-assets.com/books/1348789416l/179684.jpg,HarperCollins,HarperCollins,281,https://www.goodreads.com/book/show/179684.Bad_Blood
2001,Nonfiction,The Metaphysical Club,Louis Menand,,,male,1952,https://images.gr-assets.com/books/1348603592l/28202.jpg,HarperCollins,HarperCollins,560,https://www.goodreads.com/book/show/28202.The_Metaphysical_Club
2009,Nonfiction,The Age Of Wonder: How The Romantic Generation Discovered The Beauty And Terror Of Science,Richard Holmes,,,male,1945,https://images.gr-assets.com/books/1328477467m/4371507.jpg,HarperPress,HarperCollins,380,https://www.goodreads.com/book/show/4371507-the-age-of-wonder
2006,Nonfiction,The Places In Between,Rory Stewart,,,male,1973,https://images.gr-assets.com/books/1441325982l/95643.jpg,Mariner Books,Houghton Mifflin Harcourt,299,https://www.goodreads.com/book/show/95643.The_Places_in_Between
1999,Nonfiction,The Feeling Of What Happens: Body And Emotion In The Making Of Consciousness,Antonio R. Damasio,,,male,1944,https://images.gr-assets.com/books/1347406237l/125777.jpg,Mariner Books,Houghton Mifflin Harcourt,400,https://www.goodreads.com/book/show/125777.The_Feeling_of_What_Happens
1997,Fiction,The Blue Flower,Penelope Fitzgerald,,,female,1916,https://images.gr-assets.com/books/1442332207l/11728.jpg,Mariner Books,Houghton Mifflin Harcourt,226,https://www.goodreads.com/book/show/11728.The_Blue_Flower
2014,Fiction,Euphoria,Lily King,,,female,1963,https://images.gr-assets.com/books/1418788366m/18467802.jpg,Atlantic Monthly Press,Independent,261,https://www.goodreads.com/book/show/18467802-euphoria
2007,Fiction,Man Gone Down,Michael Thomas,,,male,1967,https://images.gr-assets.com/books/1442969366l/79420.jpg,Black Cat,Independent,432,https://www.goodreads.com/book/show/79420.Man_Gone_Down
2014,Nonfiction,Can't We Talk About Something More Pleasant?,Roz Chast,,,female,1954,https://images.gr-assets.com/books/1421087235m/18594409.jpg,Bloomsbury USA,Independent,228,https://www.goodreads.com/book/show/18594409-can-t-we-talk-about-something-more-pleasant
2015,Fiction,"The Story Of The Lost Child: Book 4, The Neapolitan Novels: ""maturity, Old Age""",Elena Ferrante,Ann Goldstein,,female,1943,https://images.gr-assets.com/books/1499781984m/25242224.jpg,Europa Editions,Independent,480,https://www.goodreads.com/book/show/25242224-the-story-of-the-lost-child
2015,Fiction,Outline,Rachel Cusk,,,female,1967,https://images.gr-assets.com/books/1403832251m/21400742.jpg,Faber & Faber,Independent,249,https://www.goodreads.com/book/show/21400742-outline
2003,Fiction,The Fortress Of Solitude,Jonathan Lethem,,,male,1964,https://images.gr-assets.com/books/1418677318m/9799.jpg,Faber & Faber,Independent,528,https://www.goodreads.com/book/show/9799.The_Fortress_of_Solitude
1999,Fiction,Headlong,Michael Frayn,,,male,1933,https://images.gr-assets.com/books/1348369877l/132245.jpg,Faber & Faber,Independent,400,https://www.goodreads.com/book/show/132245.Headlong
2014,Nonfiction,On Immunity: An Inoculation,Eula Biss,,,female,1977,https://images.gr-assets.com/books/1393647576m/20613511.jpg,Graywolf Press,Independent,205,https://www.goodreads.com/book/show/20613511-on-immunity
2007,Fiction,Out Stealing Horses,Per Petterson,Anne Born,,male,1952,https://images.gr-assets.com/books/1317791439m/398323.jpg,Graywolf Press,Independent,258,https://www.goodreads.com/book/show/398323.Out_Stealing_Horses
2012,Fiction,A Hologram For The King,Dave Eggers,,,male,1970,https://images.gr-assets.com/books/1337179987m/13722902.jpg,McSweeney's,Independent,312,https://www.goodreads.com/book/show/13722902-a-hologram-for-the-king
2016,Fiction,War And Turpentine,Stefan Hertmans,David McKay,,male,1951,https://images.gr-assets.com/books/1462241170l/30078108.jpg,Text Publishing,Independent,304,https://www.goodreads.com/book/show/30078108-war-and-turpentine
2008,Fiction,2666,Roberto Bolano,Natasha Wimmer,,male,1953,https://images.gr-assets.com/books/1412644327m/63032.jpg,"Farrar, Straus and Giroux",MacMillan,1126,https://www.goodreads.com/book/show/63032.2666
2002,Nonfiction,Anthony Blunt: His Lives,Miranda Carter,,,female,1965,https://images.gr-assets.com/books/1312010454m/833266.jpg,"Farrar, Straus and Giroux",MacMillan,592,https://www.goodreads.com/book/show/833266.Anthony_Blunt
2017,Nonfiction,Locking Up Our Own: Crime And Punishment In Black America,James Forman Jr.,,,male,1967,https://images.gr-assets.com/books/1492023871l/34846249.jpg,"Farrar, Straus and Giroux",MacMillan,320,https://www.goodreads.com/book/show/34846249-locking-up-our-own
2015,Fiction,A Manual For Cleaning Women: Selected Stories,Lucia Berlin,,Stephen Emerson,female,1936,https://images.gr-assets.com/books/1437827518m/22929586.jpg,"Farrar, Straus and Giroux",MacMillan,432,https://www.goodreads.com/book/show/22929586-a-manual-for-cleaning-women
2015,Fiction,The Sellout,Paul Beatty,,,male,,https://images.gr-assets.com/books/1403430899l/22237161.jpg,"Farrar, Straus and Giroux",MacMillan,289,https://www.goodreads.com/book/show/22237161-the-sellout
2015,Nonfiction,One Of Us: The Story Of Anders Breivik And The Massacre In Norway,Asne Seierstad,Sarah Death,,female,1970,https://images.gr-assets.com/books/1420944739l/22237163.jpg,"Farrar, Straus and Giroux",MacMillan,530,https://www.goodreads.com/book/show/22237163-one-of-us
2011,Nonfiction,"Thinking, Fast And Slow",Daniel Kahneman,,,male,1934,https://images.gr-assets.com/books/1317793965m/11468377.jpg,"Farrar, Straus and Giroux",MacMillan,499,https://www.goodreads.com/book/show/11468377-thinking-fast-and-slow
2010,Fiction,Freedom,Jonathan Franzen,,,male,1959,https://images.gr-assets.com/books/1316729686l/7905092.jpg,"Farrar, Straus and Giroux",MacMillan,562,https://www.goodreads.com/book/show/7905092-freedom
2007,Fiction,The Savage Detectives,Roberto Bolano,Natasha Wimmer,,male,1953,https://images.gr-assets.com/books/1342651149l/63033.jpg,"Farrar, Straus and Giroux",MacMillan,577,https://www.goodreads.com/book/show/63033.The_Savage_Detectives
2007,Fiction,Tree Of Smoke,Denis Johnson,,,male,1949,https://images.gr-assets.com/books/1480095525m/271074.jpg,"Farrar, Straus and Giroux",MacMillan,614,https://www.goodreads.com/book/show/271074.Tree_of_Smoke
2007,Nonfiction,The Rest Is Noise: Listening To The Twentieth Century,Alex Ross,,,male,1970,https://images.gr-assets.com/books/1311973474m/392563.jpg,"Farrar, Straus and Giroux",MacMillan,640,https://www.goodreads.com/book/show/392563.The_Rest_Is_Noise
2005,Nonfiction,The Assassins' Gate: America In Iraq,George Packer,,,male,1960,https://images.gr-assets.com/books/1441331477l/87119.jpg,"Farrar, Straus and Giroux",MacMillan,512,https://www.goodreads.com/book/show/87119.The_Assassins_Gate
2012,Fiction,Bring Up The Bodies,Hilary Mantel,,,female,1952,https://images.gr-assets.com/books/1330649655m/13507212.jpg,Henry Holt and Co.,MacMillan,407,https://www.goodreads.com/book/show/13507212-bring-up-the-bodies
2016,Fiction,The North Water,Ian McGuire,,,male,1964,https://images.gr-assets.com/books/1456351800m/25666046.jpg,Henry Holt and Co.,MacMillan,272,https://www.goodreads.com/book/show/25666046-the-north-water
2014,Nonfiction,The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,,,female,1961,https://images.gr-assets.com/books/1372677697m/17910054.jpg,Henry Holt and Co.,MacMillan,319,https://www.goodreads.com/book/show/17910054-the-sixth-extinction
2017,Nonfiction,Prairie Fires: The American Dreams Of Laura Ingalls Wilder,Caroline Fraser,,,female,,https://images.gr-assets.com/books/1499741011m/33911349.jpg,Metropolitan Books,MacMillan,640,https://www.goodreads.com/book/show/33911349-prairie-fires
2016,Nonfiction,In The Darkroom,Susan Faludi,,,female,1959,https://images.gr-assets.com/books/1457891325m/29370484.jpg,Metropolitan Books,MacMillan,432,https://www.goodreads.com/book/show/29370484-in-the-darkroom
2006,Nonfiction,Falling Through The Earth: A Memoir,Danielle Trussoni,,,female,1973,https://images.gr-assets.com/books/1311986308l/76339.jpg,Picador,MacMillan,240,https://www.goodreads.com/book/show/76339.Falling_Through_the_Earth
2002,Fiction,Middlesex,Jeffrey Eugenides,,,male,1960,https://images.gr-assets.com/books/1437029776l/2187.jpg,Picador,MacMillan,529,https://www.goodreads.com/book/show/2187.Middlesex
2001,Nonfiction,Borrowed Finery: A Memoir,Paula Fox,,,female,1923,https://images.gr-assets.com/books/1426217899l/172050.jpg,Picador,MacMillan,224,https://www.goodreads.com/book/show/172050.Borrowed_Finery
2001,Nonfiction,Uncle Tungsten: Memories Of A Chemical Boyhood,Oliver Sacks,,,male,1933,https://images.gr-assets.com/books/1347311078l/64664.jpg,Picador,MacMillan,337,https://www.goodreads.com/book/show/64664.Uncle_Tungsten
2000,Nonfiction,"One Palestine, Complete: Jews And Arabs Under The British Mandate",Tom Segev,,,male,1945,https://images.gr-assets.com/books/1406856867l/57545.jpg,Picador,MacMillan,640,https://www.goodreads.com/book/show/57545.One_Palestine_Complete
1998,Nonfiction,We Wish To Inform You That Tomorrow We Will Be Killed With Our Families: Stories From Rwanda,Philip Gourevitch,,,male,1961,https://images.gr-assets.com/books/1442723264l/11472.jpg,Picador,MacMillan,356,https://www.goodreads.com/book/show/11472.We_Wish_to_Inform_You_That_Tomorrow_We_Will_Be_Killed_with_Our_Families
1997,Fiction,Mason & Dixon,Thomas Pynchon,,,male,1937,https://images.gr-assets.com/books/1386925333l/413.jpg,Picador,MacMillan,773,https://www.goodreads.com/book/show/413.Mason_Dixon
1997,Fiction,Underworld,Don DeLillo,,,male,1936,https://images.gr-assets.com/books/1334304280l/11761.jpg,Picador,MacMillan,827,https://www.goodreads.com/book/show/11761.Underworld
2004,Fiction,Gilead,Marilynne Robinson,,,female,1943,https://images.gr-assets.com/books/1451555787l/68210.jpg,Picador,MacMillan,247,https://www.goodreads.com/book/show/68210.Gilead
2000,Fiction,Being Dead ,Jim Crace,,,male,1946,https://images.gr-assets.com/books/1362225657l/92559.jpg,Picador,MacMillan,196,https://www.goodreads.com/book/show/92559.Being_Dead
1998,Fiction,Birds Of America: Stories,Lorrie Moore,,,female,1957,https://images.gr-assets.com/books/1388641896l/19631.jpg,Picador,MacMillan,291,https://www.goodreads.com/book/show/19631.Birds_of_America
2009,Nonfiction,The Good Soldiers,David Finkel,,,male,1955,https://images.gr-assets.com/books/1442327825l/6633912.jpg,Sarah Crichton Books,MacMillan,287,https://www.goodreads.com/book/show/6633912-the-good-soldiers
2011,Nonfiction,The Boy In The Moon: A Father's Journey To Understand His Extraordinary Son,Ian Brown,,,male,1963,https://images.gr-assets.com/books/1438009146l/9809455.jpg,St. Martin's Press,MacMillan,304,https://www.goodreads.com/book/show/9809455-the-boy-in-the-moon
2008,Fiction,Dangerous Laughter: Thirteen Stories,Steven Millhauser,,,male,1943,https://images.gr-assets.com/books/1437485127l/1540810.jpg,Alfred A. Knopf,Penguin Random House,244,https://www.goodreads.com/book/show/1540810.Dangerous_Laughter
2008,Nonfiction,This Republic Of Suffering: Death And The American Civil War,Drew Gilpin Faust,,,female,1947,https://images.gr-assets.com/books/1320418642m/1283566.jpg,Alfred A. Knopf,Penguin Random House,346,https://www.goodreads.com/book/show/1283566.This_Republic_of_Suffering
2005,Nonfiction,De Kooning: An American Master,Mark Stevens and Annalyn Swan,,,male,1947,https://images.gr-assets.com/books/1390614124l/2557.jpg,Alfred A. Knopf,Penguin Random House,732,https://www.goodreads.com/book/show/2557.De_Kooning
2008,Nonfiction,The Forever War,Dexter Filkins,,,male,1961,https://images.gr-assets.com/books/1320478597m/2517439.jpg,Alfred A. Knopf,Penguin Random House,342,https://www.goodreads.com/book/show/2517439.The_Forever_War
2015,Nonfiction,Empire Of Cotton: A Global History,Sven Beckert,,,male,,https://images.gr-assets.com/books/1400852945m/20758057.jpg,Alfred A. Knopf,Penguin Random House,640,https://www.goodreads.com/book/show/20758057-empire-of-cotton
2015,Nonfiction,The Invention Of Nature: Alexander Von Humboldt's New World,Andrea Wulf,,,female,1972,https://images.gr-assets.com/books/1452449264m/23995249.jpg,Alfred A. Knopf,Penguin Random House,473,https://www.goodreads.com/book/show/23995249-the-invention-of-nature
2014,Fiction,Dept. Of Speculation,Jenny Offill,,,female,1968,https://images.gr-assets.com/books/1367929545m/17402288.jpg,Alfred A. Knopf,Penguin Random House,179,https://www.goodreads.com/book/show/17402288-dept-of-speculation
2014,Nonfiction,"Thirteen Days In September: Carter, Begin, And Sadat At Camp David",Lawrence Wright,,,male,1947,https://images.gr-assets.com/books/1408925868m/21965079.jpg,Alfred A. Knopf,Penguin Random House,368,https://www.goodreads.com/book/show/21965079-thirteen-days-in-september
2013,Fiction,Americanah,Chimamanda Ngozi Adichie,,,female,1977,https://images.gr-assets.com/books/1356654499m/15796700.jpg,Alfred A. Knopf,Penguin Random House,477,https://www.goodreads.com/book/show/15796700-americanah
2013,Nonfiction,Wave,Sonali Deraniyagala,,,female,1964,https://images.gr-assets.com/books/1362126716l/15771862.jpg,Alfred A. Knopf,Penguin Random House,274,https://www.goodreads.com/book/show/15771862-wave
2012,Nonfiction,The Passage Of Power: The Years Of Lyndon Johnson,Robert A. Caro,,,male,1935,https://images.gr-assets.com/books/1388185618l/13049569.jpg,Alfred A. Knopf,Penguin Random House,712,https://www.goodreads.com/book/show/13049569-the-passage-of-power
2011,Fiction,Swamplandia!,Karen Russell,,,female,1981,https://images.gr-assets.com/books/1320536498m/8584686.jpg,Alfred A. Knopf,Penguin Random House,323,https://www.goodreads.com/book/show/8584686-swamplandia
2010,Fiction,A Visit From The Goon Squad,Jennifer Egan,,,female,1962,https://images.gr-assets.com/books/1356844046m/7331435.jpg,Alfred A. Knopf,Penguin Random House,288,https://www.goodreads.com/book/show/7331435-a-visit-from-the-goon-squad
2010,Nonfiction,"Finishing The Hat: Collected Lyrics (1954-1981) With Attendant Comments, Principles, Heresies, _grudges, Whines And Anecdotes",Stephen Sondheim,,,male,1930,https://images.gr-assets.com/books/1320542554m/7769406.jpg,Alfred A. Knopf,Penguin Random House,421,https://www.goodreads.com/book/show/7769406-finishing-the-hat
2009,Fiction,A Gate At The Stairs,Lorrie Moore,,,female,1957,https://images.gr-assets.com/books/1327909646m/6076387.jpg,Alfred A. Knopf,Penguin Random House,322,https://www.goodreads.com/book/show/6076387-a-gate-at-the-stairs
2008,Fiction,A Mercy,Toni Morrison,,,female,1931,https://images.gr-assets.com/books/1439037000l/3009435.jpg,Alfred A. Knopf,Penguin Random House,167,https://www.goodreads.com/book/show/3009435-a-mercy
2008,Fiction,Unaccustomed Earth ,Jhumpa Lahiri,,,female,1967,https://images.gr-assets.com/books/1320398140l/85301.jpg,Alfred A. Knopf,Penguin Random House,352,https://www.goodreads.com/book/show/85301.Unaccustomed_Earth
2008,Nonfiction,Nothing To Be Frightened Of,Julian Barnes,,,male,1946,https://images.gr-assets.com/books/1320552162l/2982466.jpg,Alfred A. Knopf,Penguin Random House,243,https://www.goodreads.com/book/show/2982466-nothing-to-be-frightened-of
2008,Nonfiction,The World Is What It Is: The Authorized Biography Of V. S. Naipaul,Patrick French,,,male,1966,https://images.gr-assets.com/books/1320516336l/3006513.jpg,Alfred A. Knopf,Penguin Random House,554,https://www.goodreads.com/book/show/3006513-the-world-is-what-it-is
2007,Fiction,Imperial Life In The Emerald City: Inside Iraq's Green Zone,Rajiv Chandrasekaran,,,male,1973,https://images.gr-assets.com/books/1388184155l/22121.jpg,Alfred A. Knopf,Penguin Random House,320,https://www.goodreads.com/book/show/22121.Imperial_Life_in_the_Emerald_City
2006,Fiction,The Emperor's Children,Claire Messud,,,female,1966,https://images.gr-assets.com/books/1320497348m/3648.jpg,Alfred A. Knopf,Penguin Random House,431,https://www.goodreads.com/book/show/3648.The_Emperor_s_Children
2006,Fiction,The Lay Of The Land,Richard Ford,,,male,1944,https://images.gr-assets.com/books/1386919608l/12372.jpg,Alfred A. Knopf,Penguin Random House,496,https://www.goodreads.com/book/show/12372.The_Lay_of_the_Land
2006,Nonfiction,The Looming Tower: Al-qaeda And The Road To 9/11,Lawrence Wright,,,male,1947,https://images.gr-assets.com/books/1320471617l/110890.jpg,Alfred A. Knopf,Penguin Random House,373,https://www.goodreads.com/book/show/110890.The_Looming_Tower
1998,Nonfiction,"The Unknown Matisse: A Life Of Henri Matisse: The Early Years, 1869-1908",Hilary Spurling,,,female,1940,https://images.gr-assets.com/books/1320505351m/224953.jpg,Alfred A. Knopf,Penguin Random House,512,https://www.goodreads.com/book/show/224953.The_Unknown_Matisse_1869_1908
2016,Nonfiction,"The Return: Fathers, Sons And The Land In Between",Hisham Matar,,,male,1970,https://images.gr-assets.com/books/1457891417m/28007895.jpg,Alfred A. Knopf,Penguin Random House,288,https://www.goodreads.com/book/show/28007895-the-return
2005,Fiction,Saturday,Ian McEwan,,,male,1948,https://images.gr-assets.com/books/1431501825l/5015.jpg,Anchor,Penguin Random House,289,https://www.goodreads.com/book/show/5015.Saturday
2001,Fiction,John Henry Days,Colson Whitehead,,,male,1969,https://images.gr-assets.com/books/1388219049l/16276.jpg,Anchor,Penguin Random House,400,https://www.goodreads.com/book/show/16276.John_Henry_Days
1997,Nonfiction,Into Thin Air: A Personal Account Of The Mount Everest Disaster,Jon Krakauer,,,male,1954,https://images.gr-assets.com/books/1463384482l/1898.jpg,Anchor,Penguin Random House,337,https://www.goodreads.com/book/show/1898.Into_Thin_Air
2002,Fiction,Atonement,Ian McEwan,,,male,1948,https://images.gr-assets.com/books/1320449708l/6867.jpg,Anchor,Penguin Random House,351,https://www.goodreads.com/book/show/6867.Atonement
1999,Nonfiction,Secrets Of The Flesh: A Life Of Colette,Judith Thurman,,,female,1946,https://images.gr-assets.com/books/1320509735m/89840.jpg,Ballantine Books,Penguin Random House,660,https://www.goodreads.com/book/show/89840.Secrets_of_the_Flesh
2007,Nonfiction,Little Heathens: Hard Times And High Spirits On An Iowa Farm During The Great Depression,Mildred Armstrong,,,female,1922,https://images.gr-assets.com/books/1320497876l/771858.jpg,Bantam,Penguin Random House,304,https://www.goodreads.com/book/show/771858.Little_Heathens
2016,Nonfiction,"At The Existentialist Cafe: Freedom, Being, And Apricot Cocktails",Sarah Bakewell,,,female,1963,https://images.gr-assets.com/books/1456742264m/25658482.jpg,Chatto & Windus,Penguin Random House,440,https://www.goodreads.com/book/show/25658482-at-the-existentialist-caf
2014,Nonfiction,Penelope Fitzgerald: A Life,Hermione Lee,,,female,1948,https://images.gr-assets.com/books/1371431803m/17612573.jpg,Chatto & Windus,Penguin Random House,508,https://www.goodreads.com/book/show/17612573-penelope-fitzgerald
2016,Nonfiction,Evicted: Poverty And Profit In The American City,Matthew Desmond,,,male,,https://images.gr-assets.com/books/1453060710m/25852784.jpg,Crown,Penguin Random House,418,https://www.goodreads.com/book/show/25852784-evicted
2013,Nonfiction,Five Days At Memorial: Life And Death In A Storm-ravaged Hospital,Sheri Fink,,,female,,https://images.gr-assets.com/books/1380120962m/17704902.jpg,Crown,Penguin Random House,558,https://www.goodreads.com/book/show/17704902-five-days-at-memorial
2016,Nonfiction,Dark Money: The Hidden History Of The Billionaires Behind The Rise Of The Radical Right,Jane Mayer,,,female,1955,https://images.gr-assets.com/books/1452601408m/27833494.jpg,Doubleday,Penguin Random House,464,https://www.goodreads.com/book/show/27833494-dark-money
2013,Nonfiction,Days Of Fire: Bush And Cheney In The White House,Peter Baker,,,male,1967,https://images.gr-assets.com/books/1363837099m/17288658.jpg,Doubleday,Penguin Random House,816,https://www.goodreads.com/book/show/17288658-days-of-fire
2009,Fiction,Chronic City,Jonathan Lethem,,,male,1964,https://images.gr-assets.com/books/1348897861l/6085191.jpg,Doubleday,Penguin Random House,467,https://www.goodreads.com/book/show/6085191-chronic-city
2008,Nonfiction,The Dark Side: The Inside Story Of How The War On Terror Turned Into A War On American Ideals,Jane Mayer,,,female,1955,https://images.gr-assets.com/books/1442764560l/3280003.jpg,Doubleday,Penguin Random House,335,https://www.goodreads.com/book/show/3280003-the-dark-side
2007,Nonfiction,The Nine: Inside The Secret World Of The Supreme Court,Jeffrey Toobin,,,male,1960,https://images.gr-assets.com/books/1441671544l/280410.jpg,Doubleday,Penguin Random House,384,https://www.goodreads.com/book/show/280410.The_Nine
1996,Nonfiction,"The Life Of Nelson A. Rockefeller: Worlds To Conquer, 1908-1958",Cary Reich,,,male,1949,https://images.gr-assets.com/books/1387714778l/391221.jpg,Doubleday,Penguin Random House,896,https://www.goodreads.com/book/show/391221.The_Life_of_Nelson_A_Rockefeller
